match,stat,home,away,total,fouls_per_goal
Arsenal vs Atletico,Shots on target,2.0,2.0,4.0,
Arsenal vs Atletico,Big chances,2.0,1.0,3.0,
Arsenal vs Atletico,Fouls committed,10.0,13.0,23.0,23
Arsenal vs Atletico,Touches in opposition box,20.0,20.0,40.0,
Arsenal vs Atletico,Successful dribbles,3.0,2.0,5.0,
Bayern vs PSG,Shots on target,5.0,8.0,13.0,
Bayern vs PSG,Big chances,2.0,6.0,8.0,
Bayern vs PSG,Fouls committed,14.0,4.0,18.0,2.0
Bayern vs PSG,Touches in opposition box,20.0,52.0,72.0,
Bayern vs PSG,Successful dribbles,12.0,22.0,34.0,
